name,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
Enhanced Care Management - Prediction model for hospitalisation/assistance,Unknown,https://www.kratid.ee/haigekassa-kasutuslug,,"In 2015, the Estonian Health Insurance Fund started cooperating with the World Bank to develop and pilot a risk-based management model that would help increase the integration of health services. With risk-based management, GPs can identify patients with multiple chronic diseases on their list for whom additional prevention, counseling and monitoring would be most beneficial to their health and quality of life. If these patients are neglected by the GP teams, this can lead to serious problems, including unnecessary deterioration in health, which not only causes health damage but also unnecessary costs to the healthcare system (avoidable hospitalizations, duplication of examinations, etc.).  The created solution finds the best algorithm for predicting which patients with selected diagnoses are likely to be hospitalized. In the solution, the EHIF database of medical bills first finds certain conditions / diagnoses to be included in the algorithm. Different models have their own strengths, but the differences should not be big.   The results of the solution are comparable to the results of research presented in the literature: John Hopkins Adjusted Clinical Groups (the leading proprietary risk stratification tool) - Haas et al .; Risk-Stratification Methods for Identifying Patients for Care Coordination; The American Journal of Managed Care (September 2013).   The machine learning model is better than the old mechanical model in finding patients at risk.  The solution makes it possible to create a practical model for GP centers to predict which patients are more likely to end up in hospital or at other health risks.  ",National,Estonia,Estonian Health Insurance Fund,Governmental,2021/01/01,Unknown,,Health,Public health services.,Unknown,Unknown,Machine learning,Unknown,Unknown
e-Residency - Chatbot for customer assistance,Unknown,https://medium.com/e-residency-blog/how-we-use-ai-to-help-users-get-answers-instantly-and-increase-customer-satisfaction-95d1a06caad,,"Artificial Intelligence (AI) customer service assistant for the Republic of Estonia’s e-Residency organisation. Together, the organisation decided to tackle the challenge of increasing customer support response time without hiring additional people. The solution is simple , i.e.  an artificial intelligence chatbot with a live-chat interface.",National,Estonia,e-Residency organization,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Hans - A system for preparing of verbatim reports,Unknown,https://m.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,,"The speech recognition system helps transcribe the speeches given at the rostrum of the Estonian Parliament (Riigikogu). The Chancellery of the Riigikogu is currently required to publish a verbatim report within one hour from the end of the sitting. It takes a lot of human effort to do that, and the burden falls on stenographers. By deploying speech recognition, it will increase the efficiency and accuracy in transcripts of the sessions. Also, the plan is to start providing verbatim recordings as machine-readable open data, so other systems can use that data freely as well.",National,Estonia,Estonian Parliament (Riigikogu),Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
Iti - Chatbot for Statistics Estonia,Unknown,https://www.kratid.ee/statistikaameti-kasutuslugu,,"The virtual assistant called Iti, created in collaboration with the Estonian start-up AlphaBlues, knows the population of Estonia, the size of the pay gap, average wages and consumer price changes, and many other things. Iti also assists the data provider, whose typical questions are related to activities in the electronic data submission portal and filling in questionnaires. If Iti does not know the answer, it will redirect the query based on its content to either the customer support specialist of the data provider or the user of the statistics. Iti has obtained its knowledge from the questions sent through online chats over one year and gets wiser with every query. The number of information requests that Statistics Estonia (the government agency responsible for producing official statistics regarding Estonia) receives is increasing year by year. Iti helps to find information faster thus allowing the customer support of Statistics Estonia to focus on answering more complicated and detailed queries.",National,Estonia,Estonian Statistical Office,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
OTT - Predicting employment pathways,Unknown,https://e-estonia.com/new-e-estonia-factsheet-national-ai-kratt-strategy/,,"The Estonian Unemployment Insurance Fund uses profiling to identify the position that suits a job seeker the most. Based on machine-learning software, the solution assists people by suggesting job positions according to their qualifications. The application (OTT) provides job seekers with better and more accurate suggestions on where they could work and offers customized recommendations on re-education and reskilling. OTT is a tool used by civil servants to improve the understanding of the clients’ needs. It is an AI system that employs more than 100 000 client records to estimate the probabilities of different employment pathways, systematizes clients to provide support where it is most needed, and distributes the workload between civil servants. An early version of the project aimed to estimate the probability of becoming long-term unemployed, but this was difficult and not useful. Now, the system finds the probability of finding a new job and is regarded as much more useful. The AI has been created in collaboration with Citis, Nortal and Resta. ",National,Estonia,Estoninan Unemployment Insurance Fund,Governmental,2021/01/01,Unknown,,Social protection,Unemployment.,Unknown,Unknown,Machine learning,Unknown,Unknown
Riigikogu - Language speech synthesiser fror the Estonian Parliament,Unknown,https://www.err.ee/1134953/eesti-viimaste-stenografistide-too-vottis-ule-robot,,"The speech synthesis environment incorporates variations, applications and interfaces of Estonian text to speech synthesis and other materials for synthesis purposes. Speech synthesis is a crucial part of assistive devices for individuals with vision, hearing and speech impairments and in the communication between humans and machines.",National,Estonia,Unknown,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
SATIKAS -  Detecting the agricultural grasslands changes,Unknown,https://kosmos.ut.ee/en/news/information-system-satikas-helps-detect-mowing-using-satellite-data,,"In the Estonian Agricultural Registers and Information Board (ARIB), AI is used in order to detect whether the agricultural grasslands have been mowed or not using image recognition. This system, called SATIKAS , uses deep learning methods and convolutional neural network approaches to analyse the satellite data coming from the European COPERNICUS programme to automatically detect whether mowing has taken place on the Estonian grasslands. The optical satellite images from Sentinel 1 and 2 are analysed together with reference data of farmer fields, historical inspection logs and meteorological data from the Estonian Weather Service. This AI system is now regarded as one of the first AI applications used by the government in Estonia. The SATIKAS system is still under development and will expand its features and capabilities in the near future. While at the moment the system is able to detect mowing of grass, in the future it will be used for identifying different types of crops and trees as well. ",National,Estonia,ARIB,Governmental,2021/01/01,Unknown,,Economic affairs,"Agriculture, forestry, fishing and hunting",Unknown,Unknown,Machine learning,Unknown,Unknown
SUVE - Chatbot for questions about emergency situations,Unknown,https://eebot.ee/,,"The websites of several Estonian government agencies use Suve, an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies. The development of the Chatbot is the result of a hackathon which was organized in the early weeks of the COVID-19 outbreaks in Europe. Together with the Estonian start-up community, Suve was developed in rapid fashion. By using official information from government agencies, the role of Chatbot is to provide trustworthy information regarding the coronavirus and emergency situation in Estonia and to tackle misinformation.   https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis",National,Estonia,Unknown,Governmental,2021/01/01,Unknown,,Health,Public health services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Texta Toolkit - Identyfying documents published without authorisation,Unknown,https://www.texta.ee/home,,"The Ministry of Education and Research performed a document management audit using the Texta Toolkit, which was aimed at identifying the documents that had been published without authorisation (e.g. internal documents, personal data, etc.). During the audit, more than 1,200,000 documents were analysed, converted into machine-readable form and had the personal data removed. In collaboration with the Centre of Registers and Information Systems, the Ministry of Justice removed, using Texta, personal data from nearly 80,000 court decisions involving information about punishments deleted from the Criminal Records Database and republished the decisions in the Court Information System. Texta Toolkit grew out of industrial research in the Software Technology and Applications Competence Center (STACC) and its development has been supported from the Estonian Language Technology programme.",National,Estonia,Ministry of Education and Research,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Traffic load - Machine vision for collecting information on traffic load,Unknown,https://www.kratid.ee/tlt-kasutuslugu,,"The Tallinn transport department, responsible for organising public transport and traffic in Tallinn, started developing a machine vision application in autumn 2018 in collaboration with Sifr OÜ. The main objective of this application is to identify the traffic load within Tallinn, i.e. how many cars drive in and out of the city in a day in order to make city transport planning related decisions based on such data (e.g. parking issues, road construction, etc.). Three cameras were selected on intersections in Tallinn to train the application to count the vehicles passing by the cameras. The training of the application was a crucial process in developing the solution since there was no ready-made solution available that suited the circumstances of Tallinn. The result is an application that uses machine vision to count buses, cars, lorries and motorcycles and in the future hopefully also pedestrians, cyclists and like.The result was information with a near 70% accuracy on the traffic load in a certain area when previously there no such information available at all. The accuracy of the results is affected by weather conditions, dirt on the camera lens, etc. Regardless, the results are a valuable milestone for the city for expanding the use of machine vision to other hundreds of city traffic cameras.",Local,Estonia,Public Transport and Traffic Management Transport Board in Tallinn,Governmental,2021/01/01,Unknown,,Economic affairs,Transport,Unknown,Unknown,Computer vision,Unknown,Unknown
X-Road AI - Detect anomalies and incidents in Data Exchange Layer,Unknown,https://www.kratid.ee/ria-kasutuslugu,,"The Information System Authority (RIA) uses an AI application to detect anomalies and incidents in Data Exchange Layer (X-road) monitoring. Essentially, previous data exchange periods are compared with the current one and differences are sought. If the system is unable to identify whether a situation is erroneous or permitted, the system user currently has to decide. Based on the feedback, the system learns how to make better decisions and will be able to detect anomalies and incidents more accurately in the future.",National,Estonia,State Information Systems Board RIA,Governmental,2021/01/01,Unknown,,General public services,General public services n.e.c.,Unknown,Unknown,Machine learning,Unknown,Unknown
AuroraAI  - Programme with many AI examples.,Unknown,https://vm.fi/documents/10623/13292513/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf/7c96ee87-2b0e-dadd-07cd-0235352fc6f9/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf,,"One of the experimental applications that has been run during the AuroraAI programme focused on the “moving to a place of study” life-event. Two cities involved (Tampere and Turku) carried out well-being surveys among its student populations, and - based on its results - clustered the students into the groups in need of different support. The study has discovered that factors such as reliability of the public transportation, and quality of the natural environment plays an important role in students’ well-being. Data retrieved from the study helped create a new cross-cutting public offering - a bot that would supply information about the topics that students found important. The uptake of the new service has been lackluster, leading the authorities to believe that only proactive marketing could change customers’ behaviour. At the same time, it has been concluded that in order to pursue such projects further, municipalities need to develop user experience awareness and data analytics skills. ",National,Finland,Munipality of Tampere and Turku,Governmental,2021/01/01,Unknown,,Health,Health n.e.c.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Case Fiva (RPA) - Support the Financial supervisory Authority,Unknown,https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161688/41_19_Leading%20the%20way%20into%20the%20age%20of%20artificial%20intelligence.pdf?sequence=4,,"The Financial Supervisory Authority is an example of a government agency that uses  artificial intelligence. The Financial Supervisory Authority is a financial and insurance supervisory agency, which does not always have adequate resources for its tasks. Robotics   and artificial intelligence have eased the situation and their use has also led to a sharp   fall in the number of human errors. The Financial Supervisory Authority supervises the   operations of banks, insurance and pension insurance companies, other actors in the   insurance sector, investment firms, fund management companies and the Helsinki Stock   Exchange. The supervised entities provide 95% of the funding for the operations and the   remaining five per cent comes from the Bank of Finland.",National,Finland,The Financial Supervisory Authority,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Automated reasoning,Unknown,Unknown
Helsinki HUH - Intensive care for premature baby,Unknown,https://www.helsinki.fi/en/news/healthier-world/artificial-intelligence-evaluate-brain-maturity-preterm-infants,,"AI system to follow the intensive care of premature baby and equipment. The AI is more accurate to notice some signals better than the doctors, based on IBM Watson.  The system works 24/7 without any breaks. This should ensure a better care system for the premature baby, living rate, suport for personal and improved trust in healthcare.",Local,Finland,Helsinki University Hospital,Governmental,2021/01/01,Unknown,,Health,Hospital services.,Unknown,Unknown,Machine learning,Unknown,Unknown
Kamu - Chatbot about immigration processes ,Unknown,https://migri.fi/en/chat1,,Kamu is a chatbot used by the Finnish Immigration Service that gives general advice to citizens about immigration processes or about the process of the application. ,National,Finland,Finnish Immigration Service,Governmental,2021/01/01,Unknown,,General public services,General public services n.e.c.,Unknown,Unknown,Natural language processing,Unknown,Unknown
OuloBot - Virtual assistant for business,Unknown,https://www.ouka.fi/oulu/oulubot/,,"The City of Oulu has started a project co-financed by Business Finland, which aims to build a chatbot service, OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues, whether they concern tourism, companies or city services. The answer or guidance to an electronic service should be provided regardless of time, place, medium and language. Technically, chatbot retrieves information e.g. relevant City of Oulu websites, chat history, guidance information, databases, and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer, then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service).",Local,Finland,Municipality of Oulu,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
PatRek - Chatbot for business,Unknown,https://medium.com/inland/valtionhallinnon-chatbot-verkosto-neuvoo-ulkomaalaisia-yrityksen-perustamisessa-44eb1e0c4443,,Chatbot to answer questions with regard to setting up a company in Finland based on the Finnish Chatbot Platform,National,Finland,Finnish Patent and Registration Office,Governmental,2021/01/01,Unknown,,Economic affairs,"General economic, commercial and labour affair",Unknown,Unknown,Natural language processing,Unknown,Unknown
VeroBot - Chatbot for citizens about tax management ,Unknown,https://www.vero.fi/en/e-file/mytax/,,"The Finnish Tax Administration has published a joint chatbot service together with the Immigration Service and the Patent and Registration Office. The service includes three different chatbots. They utilise artificial intelligence to answer customers' questions. The bots know about work related taxation, immigration and business registration in Finland. At the moment the target group is entrepreneurs from outside Finland.  The chatbot service is currently in the trial stage and available only in English. The service is open until the end of June 2019. You can test the chatbot yourself on the tax.fi page. More information at:  https://www.vero.fi/en/About-us/contact-us/chat_with_the_tax_authoritie/",National,Finland,Vero Skatt,Governmental,2021/01/01,Unknown,,Economic affairs,"General economic, commercial and labour affair",Unknown,Unknown,Natural language processing,Unknown,Unknown
Aria - Chatbot answering retired people,Unknown,https://www.lassuranceretraite.fr/portail-info/sites/pub/hors-menu/actualites-nationales/retraite/2018/page-9.html ,,"National Old Age Insurance Fund (Cnav) is working  with ""Aria"", a chatbot for aswering requests made by retirees, . This chatbot can tell you the amount of income you have declared to the tax authorities, the calendar of next payments, what the direct debit will consist of, etc. , ""Aria will be able to speak, will respond to non-retirees and will be able to tackle a larger number of subjects"".",National,France,National Old Age Insurance Fund (Cnav),Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
